C:\Users\nickb\PACCS\Scripts\python.exe C:/Users/nickb/PycharmProjects/PACCS_Data/course_blocks/real_blocks.py
0.17 68 ['MIS2113', 'B AD2091', 'B C2813'] 	 0.63 Sophomore 	 0.19 Accounting
0.08 68 ['ENGL1113', 'MATH1743', 'ECON1113'] 	 1.0 Freshman 	 0.49 Business-Undecided
0.08 67 ['UCOL1002', 'MATH1643', 'COMM1113'] 	 0.99 Freshman 	 0.51 Business-Undecided
0.09 67 ['UCOL1002', 'CHEM1315', 'ENGR1411'] 	 0.93 Freshman 	 0.21 Mechanical Engineering
0.08 67 ['ENGL1113', 'UCOL1002', 'COMM1113'] 	 0.99 Freshman 	 0.58 Business-Undecided
0.08 67 ['ENGL1113', 'ECON1113', 'COMM1113'] 	 1.0 Freshman 	 0.46 Business-Undecided
0.08 66 ['UCOL1002', 'ECON1113', 'COMM1113'] 	 0.98 Freshman 	 0.5 Business-Undecided
0.1 65 ['MATH1743', 'B AD1000', 'ECON1123'] 	 0.88 Freshman 	 0.37 Business-Undecided
0.1 64 ['MATH1743', 'B AD1001', 'ECON1123'] 	 0.59 Freshman 	 0.27 Business-Undecided
0.12 64 ['ENGL1113', 'BIOL1114', 'MATH1503'] 	 1.0 Freshman 	 0.48 Pre-Nursing Studies
0.1 64 ['B AD1000', 'B AD1001', 'ECON1123'] 	 0.67 Freshman 	 0.38 Business-Undecided
0.22 63 ['MKT3013', 'L S3323', 'ACCT3113'] 	 0.76 Junior 	 0.49 Accounting
0.08 62 ['UCOL1002', 'COMM1113', 'B AD1001'] 	 0.98 Freshman 	 0.48 Business-Undecided
0.08 62 ['ENGL1113', 'UCOL1002', 'ENGR1411'] 	 1.0 Freshman 	 0.19 Computer Science
0.17 62 ['ENGL1113', 'BIOL1114', 'AHS1400'] 	 0.98 Freshman 	 0.32 Pre-Nursing Studies
0.44 61 ['PHYS2524', 'CHEM3053', 'CH E2002'] 	 0.66 Sophomore 	 0.59 Chemical Engineering-Standard
0.12 61 ['ACCT2113', 'PHIL1273', 'MATH2123'] 	 0.79 Sophomore 	 0.21 Business-Undecided
0.12 61 ['ACCT2113', 'B AD1001', 'MATH2123'] 	 0.61 Sophomore 	 0.21 Business-Undecided
0.17 60 ['UCOL1002', 'BIOL1114', 'AHS1400'] 	 1.0 Freshman 	 0.4 Pre-Nursing Studies
0.15 60 ['ACCT2113', 'MIS2113', 'B C2813'] 	 0.78 Sophomore 	 0.18 Marketing
0.48 59 ['PHYS2524', 'CHEM3053', 'CH E2033'] 	 0.68 Sophomore 	 0.59 Chemical Engineering-Standard
0.07 59 ['ENGL1113', 'UCOL1002', 'HIST1493'] 	 0.98 Freshman 	 0.22 Undecided-Degree Seeking
0.09 59 ['ACCT2113', 'B AD1001', 'ECON1123'] 	 0.53 Sophomore 	 0.2 Accounting
0.2 58 ['L S3323', 'FIN3303', 'ACCT3113'] 	 0.76 Junior 	 0.43 Accounting
0.2 58 ['CHEM3053', 'PHYS2414', 'PHYS1311'] 	 0.66 Sophomore 	 0.29 Biology
0.08 58 ['CHEM1315', 'SOC1113', 'ENGR1411'] 	 0.93 Freshman 	 0.21 Biomedical Engineering
0.2 57 ['MKT3013', 'FIN3303', 'ACCT3113'] 	 0.74 Junior 	 0.39 Accounting
0.11 57 ['ACCT2113', 'B AD1001', 'PHIL1273'] 	 0.53 Sophomore 	 0.19 Business-Undecided
0.1 57 ['ACCT2113', 'B AD1001', 'B AD2091'] 	 0.74 Sophomore 	 0.21 Finance
0.08 56 ['MATH1743', 'ACCT2113', 'B AD1001'] 	 0.57 Sophomore 	 0.21 Finance
0.1 56 ['ENGL1113', 'PSY1113', 'MATH1503'] 	 1.0 Freshman 	 0.36 Pre-Nursing Studies
0.08 56 ['CHEM1315', 'ENGR1411', 'ENGL1213'] 	 0.91 Freshman 	 0.27 Biomedical Engineering
0.15 55 ['ENGL1113', 'UCOL1002', 'AHS1400'] 	 1.0 Freshman 	 0.22 Pre-Nursing Studies
0.21 55 ['ENGL1113', 'ENGR1411', 'MATH1914'] 	 0.98 Freshman 	 0.24 Mechanical Engineering
0.06 54 ['SOC1113', 'B AD1000', 'MATH1643'] 	 1.0 Freshman 	 0.56 Business-Undecided
0.1 54 ['MATH1743', 'B AD1010', 'B AD2091'] 	 0.63 Sophomore 	 0.17 Business-Undecided
0.24 54 ['CHEM1315', 'ENGR1411', 'MATH2924'] 	 0.76 Freshman 	 0.22 Aerospace Engineering
0.11 54 ['B AD2091', 'PHIL1273', 'MATH2123'] 	 0.78 Sophomore 	 0.2 Finance
0.21 54 ['B AD2091', 'B C2813', 'ACCT2123'] 	 0.46 Sophomore 	 0.22 Accounting
0.09 53 ['ENGL1113', 'ENGR1411', 'MATH1523'] 	 0.98 Freshman 	 0.21 Mechanical Engineering
0.08 53 ['B AD1010', 'B AD1001', 'ECON2843'] 	 0.6 Sophomore 	 0.28 Finance
0.08 53 ['B AD1000', 'MATH1643', 'ECON1123'] 	 0.85 Freshman 	 0.36 Business-Undecided
0.09 53 ['ACCT2113', 'B AD1001', 'MIS2113'] 	 0.75 Sophomore 	 0.21 Finance
0.06 52 ['ENGL1113', 'SOC1113', 'MATH1643'] 	 1.0 Freshman 	 0.31 Business-Undecided
0.09 51 ['UCOL1002', 'PSY1113', 'MATH1503'] 	 1.0 Freshman 	 0.35 Pre-Nursing Studies
0.08 51 ['MATH1743', 'B AD1010', 'ECON1123'] 	 0.53 Freshman 	 0.2 Business-Undecided
0.07 51 ['MATH1743', 'B AD1010', 'B AD1001'] 	 0.61 Freshman 	 0.25 Finance
0.14 51 ['ENGL1113', 'PSY1113', 'AHS1400'] 	 1.0 Freshman 	 0.33 Pre-Nursing Studies
0.13 51 ['B AD1010', 'MATH2123', 'B C2813'] 	 0.82 Sophomore 	 0.24 Finance
0.33 51 ['ACCT3113', 'FIN3503', 'FIN3453'] 	 0.76 Senior 	 0.75 Finance
0.06 50 ['UCOL1002', 'BIOL1114', 'MATH1643'] 	 1.0 Freshman 	 0.18 Psychology
0.09 50 ['UCOL1002', 'BIOL1114', 'MATH1503'] 	 0.98 Freshman 	 0.46 Pre-Nursing Studies
0.08 50 ['MATH1743', 'ACCT2113', 'MIS2113'] 	 0.78 Sophomore 	 0.2 Finance
0.09 50 ['MATH1743', 'ACCT2113', 'B AD2091'] 	 0.64 Sophomore 	 0.16 Business-Undecided
0.07 50 ['MATH1643', 'COMM1113', 'B AD1001'] 	 0.74 Freshman 	 0.42 Business-Undecided
0.09 50 ['ENGL1113', 'UCOL1002', 'MATH1523'] 	 1.0 Freshman 	 0.14 Biology
0.06 50 ['ENGL1113', 'BIOL1114', 'MATH1643'] 	 1.0 Freshman 	 0.22 Biology
0.1 50 ['B AD1010', 'B AD1001', 'MATH2123'] 	 0.54 Sophomore 	 0.22 Business-Undecided

Process finished with exit code 0
